Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280	4635	1816	8.772946859903382	207	515280
4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636	4636	2778	7.803370786516854	356	515636
4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269	4637	3915	6.184834123222749	633	516269
4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597	4638	1998	6.091463414634147	328	516597
4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886	4639	1936	6.698961937716263	289	516886
4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213	4640	1999	6.113149847094801	327	517213
4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446	4641	1790	7.682403433476395	233	517446
4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680	4642	1688	7.213675213675214	234	517680
4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682	4643	-100	-50.0	2	517682
4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881	4644	1521	7.64321608040201	199	517881
4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382	4645	3441	6.868263473053892	501	518382
4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857	4646	3770	7.936842105263158	475	518857
4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912	4647	251	4.5636363636363635	55	518912
4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351	4648	2695	6.138952164009112	439	519351
4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673	4649	2004	6.22360248447205	322	519673
4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996	4650	2205	6.826625386996904	323	519996
4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118	4651	689	5.647540983606557	122	520118
4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317	4652	1723	8.658291457286433	199	520317
4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516	4653	1420	7.135678391959799	199	520516
4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689	4654	1042	6.023121387283237	173	520689
4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811	4655	891	7.30327868852459	122	520811
4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813	4656	-100	-50.0	2	520813
4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949	4657	1382	10.161764705882353	136	520949
4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135	4658	1332	7.161290322580645	186	521135
4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444	4659	1916	6.200647249190938	309	521444
4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618	4660	1243	7.14367816091954	174	521618
4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737	4661	692	5.815126050420168	119	521737
4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167	4662	3108	7.227906976744186	430	522167
4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261	4663	616	6.553191489361702	94	522261
4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685	4664	2912	6.867924528301887	424	522685
4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058	4665	2357	6.319034852546917	373	523058
4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502	4666	2488	5.603603603603603	444	523502
4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118	4667	3124	5.071428571428571	616	524118
4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384	4668	1858	6.984962406015038	266	524384
4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547	4669	1153	7.07361963190184	163	524547
4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774	4670	1796	7.9118942731277535	227	524774
4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247	4671	3166	6.693446088794926	473	525247
4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454	4672	1412	6.821256038647343	207	525454
4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456	4673	-100	-50.0	2	525456
4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738	4674	1943	6.890070921985815	282	525738
4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034	4675	1828	6.175675675675675	296	526034
4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410	4676	2556	6.797872340425532	376	526410
4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857	4677	3091	6.914988814317673	447	526857
4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070	4678	1507	7.075117370892019	213	527070
4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439	4679	2664	7.219512195121951	369	527439
4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668	4680	1693	7.393013100436681	229	527668
4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253	4681	3458	5.911111111111111	585	528253
4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656	4682	3034	7.528535980148884	403	528656
